car_sale_id,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
02AB73A0-9F3F-384A-A510-E88E10BA3504,CADILLAC,CADILLAC ESCALADE,14_3,0,1,5,3,6,4,0,0,2,1,4,7,3,17,2,2,8,8,8,2
81DFE25B-7E5F-8B46-0F9E-1B0D41706E74,CADILLAC,CADILLAC STS,14_5,0,0,0,0,0,0,0,0,0,1,2,8,8,0,0,0,0,0,0,0
A79E5FD7-57F7-3950-7CFF-7A5D58D067C3,CHEVROLET,CHEVROLET AVEO,16_2,0,0,0,0,0,0,132,1475,1798,1504,1951,4605,1295,0,0,0,0,0,0,0
499D43FD-A316-4467-295A-CD630836728D,CHEVROLET,CHEVROLET CAMARO,16_4,0,29,21,28,4,2,10,24,16,0,2,1,0,0,0,0,0,0,0,0
7971A164-2A67-759A-4D52-DE48DA8A4E5D,CHEVROLET,CHEVROLET CAPTIVA,16_5,0,0,1,0,0,0,195,1146,1231,1412,2207,1058,1295,444,0,0,0,0,0,0
71C64FB5-9818-3195-1880-D0A337BF08A2,CHEVROLET,CHEVROLET CORVETTE,16_6,0,14,12,18,3,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0
963E8470-8DF8-4382-A5D4-FD9B91F103E5,CHEVROLET,CHEVROLET CRUZE,16_7,0,0,0,0,0,1,554,1522,1925,1382,1032,438,0,0,0,0,0,0,0,0
CD34DD5B-2730-97B5-A47D-12F836D547C3,CHEVROLET,CHEVROLET EPICA,16_8,0,0,0,0,0,0,0,0,0,12,7,126,53,0,0,0,0,0,0,0
F95D0F29-60D9-5A00-3E9D-C6C523FD2471,CHEVROLET,CHEVROLET KALOS,16_10,0,0,0,0,0,0,0,0,0,0,0,9,1398,1910,1252,1077,0,0,0,0
720A8B9A-1827-7DDF-7D2B-9C9CE6946D26,CHEVROLET,CHEVROLET LACETTI,16_11,0,0,0,0,0,1,0,0,0,139,349,1032,1130,936,782,465,0,0,0,0
0DDEF09B-84C0-1078-6691-FECA2EEB992B,CHEVROLET,CHEVROLET MATIZ,16_12,0,0,0,0,0,0,0,0,0,1,1176,5028,3630,3719,2336,1384,0,0,0,0
FF708719-08B6-86DE-92AA-268017B78AC8,CHEVROLET,CHEVROLET ORLANDO,16_13,0,0,0,0,0,0,210,923,2218,1566,2,0,0,0,0,0,0,0,0,0
1157C4C0-7E82-544B-88B8-A080A5504C75,CHEVROLET,CHEVROLET SPARK,16_14,0,0,0,0,0,8,880,4208,4202,4300,3871,1,0,0,0,0,0,0,0,0
9C8E86BF-77ED-075B-4B28-045DE1B86C4B,CHEVROLET,CHEVROLET TACUMA,16_16,0,0,0,0,0,0,0,0,0,1,2,13,285,447,246,208,0,0,0,0
9C67392A-5392-661F-0376-F598213B6692,CHEVROLET,CHEVROLET TRAX,16_18,0,0,0,1,0,1,549,1069,0,0,0,0,0,0,0,0,0,0,0,0
41CE355F-A01B-7E04-9092-851F03CA7CCE,CHEVROLET,CHEVROLET VOLT,16_19,0,0,0,0,0,0,2,58,52,0,0,0,0,0,0,0,0,0,0,0
F22E52BF-78A0-0BF8-7464-E89E41B82BF3,CHRYSLER,CHRYSLER 300,17_1,0,0,0,0,0,2,1,0,0,2,624,592,1106,1812,1510,162,0,0,0,0
B8655077-4800-6974-29C1-4D09B5BF00E0,CHRYSLER,CHRYSLER 300C,17_1,0,0,0,0,0,1,46,154,163,0,0,0,0,0,0,0,0,0,0,0
2978D1A6-8CE6-9E0A-16EE-613E834F8A54,CHRYSLER,CHRYSLER CROSSFIRE,17_2,0,0,0,0,0,0,0,0,0,0,0,2,28,247,553,606,900,172,0,0
83278401-04DB-0A9B-8FE8-2206185894E6,CHRYSLER,CHRYSLER DELTA,17_3,0,0,0,0,0,0,7,45,533,190,0,0,0,0,0,0,0,0,0,0
64FF2B91-A0C1-4EC9-6210-4E0C0C9C2018,CHRYSLER,CHRYSLER GRAND VOYAGER,17_4,0,0,0,0,0,3,479,324,0,0,0,0,0,0,0,0,0,0,0,0
2C68B117-A1BF-2C25-9043-1EA4B26786EA,CHRYSLER,CHRYSLER NEON,17_5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,74,68,83
DE9811CB-551C-7D7E-671B-213B7B919684,CHRYSLER,CHRYSLER PT CRUISER,17_7,0,0,0,0,0,0,0,0,0,0,0,2,158,969,998,828,679,613,348,278
15DB3513-1801-97DF-A6A6-A3B365E4391F,CHRYSLER,CHRYSLER SEBRING,17_8,0,0,0,0,0,0,0,0,0,0,3,495,437,154,0,2,1,1,4,6
0CF621F2-12A6-029C-445F-C8104EF47A11,CHRYSLER,CHRYSLER VOYAGER,17_9,1,0,0,0,0,0,1,0,371,515,490,679,1457,1806,2545,1968,1058,804,383,296
C3AC802E-5AAC-39F0-6F4B-7863801F4432,CHRYSLER,CHRYSLER YPSILON,17_10,0,0,0,0,0,122,1322,1744,1810,280,0,0,0,0,0,0,0,0,0,0
6CEB3CF2-54AA-0410-A11C-F20832C509AF,CITROEN,CITROEN BERLINGO,18_2,1701,3485,2393,2173,3224,3354,3672,4182,4226,3289,3470,5581,3023,2671,3184,3352,3898,3382,2050,977
3D8C5FD8-3E5F-634D-699A-81A02A1819AC,CITROEN,CITROEN C1,18_6,3734,5272,6950,8700,18096,17960,13565,14089,14000,14241,13849,13160,12482,9916,6788,1067,0,0,0,0
423A0DB4-7E19-1893-2E38-072704B334AC,CITROEN,CITROEN C2,18_7,0,0,0,0,0,0,0,0,0,2,370,3201,3183,4173,3995,4252,3772,448,0,0
CB7FD4FE-9AB9-68C6-96C9-4A89901F5CBF,CITROEN,CITROEN C3,18_8,12166,22544,24099,19398,11003,12819,14612,14408,16345,17470,21664,12376,7871,9758,9398,9608,8685,7594,2861,1
63A15A87-1BB5-2CA5-3314-CFABAB481906,CITROEN,CITROEN C4,18_12,3524,8814,12323,15888,25948,29255,22378,13689,10971,10606,11256,11798,17460,15454,5431,3411,115,0,0,1
2AA75E21-5C8C-A2D0-59F3-3DF0B5178808,CITROEN,CITROEN C5,18_15,5086,6499,22,0,103,210,246,396,472,830,1918,3385,2427,923,1080,844,999,973,772,280
A9074D05-833E-9F72-6770-E61784B543A5,CITROEN,CITROEN C6,18_16,0,0,0,0,0,0,0,0,5,3,36,81,79,147,76,3,0,0,0,0
F03BEF5F-54B5-6E01-A261-F85074EA81EC,CITROEN,CITROEN C8,18_17,0,0,0,0,0,0,1,0,0,0,47,203,350,528,510,433,287,146,1,0
